TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative	Category
GO:0006189	'de novo' IMP biosynthetic process	-1.402676138	5.064420548	0.385800375	0.944476873	0.15665494	null	BP
GO:0006807	nitrogen compound metabolic process	-2.310808356	7.166808942	48.83764952	0.944238309	0.04081181	null	BP
GO:0006813	potassium ion transport	-1.943148649	5.238354769	0.575835058	0.96429484	0.21617817	null	BP
GO:0006952	defense response	-1.530484008	5.495515199	1.041021388	0.815133807	0.50932019	null	BP
GO:0007129	homologous chromosome pairing at meiosis	-2.511952688	3.744605875	0.018470282	0.845731317	0	null	BP
GO:0009772	photosynthetic electron transport in photosystem II	-1.604989181	3.565847819	0.012237019	0.973727711	0.01899682	null	BP
GO:0009873	ethylene-activated signaling pathway	-1.592023763	4.111228898	0.042967602	0.855197062	0.2581279	null	BP
GO:0015918	sterol transport	-2.383595897	4.175627764	0.049836166	0.96429484	0	null	BP
GO:0016125	sterol metabolic process	-2.196800446	4.65343443	0.149751308	0.957485387	0	null	BP
GO:0030036	actin cytoskeleton organization	-1.959038045	4.98481075	0.321182662	0.920647865	0.44940011	null	BP
GO:0031573	mitotic intra-S DNA damage checkpoint signaling	-1.361921575	3.086715664	0.00405794	0.743986246	0.49013036	null	BP
GO:0034976	response to endoplasmic reticulum stress	-2.355838244	4.571825249	0.124096476	0.810793554	0.00639378	null	BP
GO:0044238	primary metabolic process	-1.693790483	7.210955286	54.06311933	0.943966851	0.22128816	null	BP
GO:0009535	chloroplast thylakoid membrane	-1.543544243	4.260953398	0.069440795	1	0.51436784	null	CC
GO:0012507	ER to Golgi transport vesicle membrane	-1.61184482	4.235705159	0.065518662	1	0	null	CC
GO:0003677	DNA binding	-1.640440459	6.637648108	11.82753113	0.884963969	0.17481018	null	MF
GO:0003700	DNA-binding transcription factor activity	-1.357663958	6.221101903	4.532603541	0.982118672	0.06286695	null	MF
GO:0005488	binding	-1.399396844	7.318248685	56.68847261	1	0	null	MF
GO:0005506	iron ion binding	-1.456331551	5.737364418	1.48802324	0.938405678	0.0583248	null	MF
GO:0005544	calcium-dependent phospholipid binding	-1.40608446	4.374381698	0.064507387	0.952251682	0.04250159	null	MF
GO:0016168	chlorophyll binding	-1.384050866	4.133570841	0.037049726	0.771866402	0.66649841	null	MF
GO:0020037	heme binding	-1.614702008	5.731088918	1.46667606	0.748933238	0	null	MF
GO:0045156	"electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity"	-1.879360422	3.93636292	0.023526576	0.982118672	0	null	MF
