TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative	Category
GO:0000027	ribosomal large subunit assembly	-2.147486343	4.465129935	0.097064606	0.868333702	0.00695685	null	BP
GO:0000162	tryptophan biosynthetic process	-1.337019499	4.762415957	0.192466121	0.858937227	0.25978445	null	BP
GO:0000911	cytokinesis by cell plate formation	-1.317166227	3.300595484	0.006642383	0.988068303	0.00584184	null	BP
GO:0006269	"DNA replication, synthesis of RNA primer"	-1.356733635	4.584161545	0.127672121	0.820350086	0.35311534	null	BP
GO:0006355	regulation of DNA-templated transcription	-1.650739275	6.476702828	9.968929481	0.89017255	0.66315541	null	BP
GO:0006357	regulation of transcription by RNA polymerase II	-1.578343647	5.760807598	1.917576444	0.892655271	0.00897495	null	BP
GO:0006383	transcription by RNA polymerase III	-2.769474115	4.388651717	0.081391642	0.845673487	0	null	BP
GO:0006749	glutathione metabolic process	-1.74093664	4.758919458	0.190922773	0.964643615	0.03248272	null	BP
GO:0009416	response to light stimulus	-1.335909668	4.722477614	0.175555818	0.985224843	0.00949134	null	BP
GO:0009813	flavonoid biosynthetic process	-1.333524271	3.672836454	0.015656333	0.918052534	0.12002454	null	BP
GO:0009826	unidimensional cell growth	-1.595192447	3.502700175	0.010580581	0.987731573	0.00600902	null	BP
GO:0015706	nitrate transmembrane transport	-1.348669878	4.082605873	0.04022683	0.986652499	0.00654646	null	BP
GO:0016102	diterpenoid biosynthetic process	-1.349419522	3.804888745	0.021221033	0.908353183	0.13703053	null	BP
GO:0016233	telomere capping	-1.591278516	3.50758604	0.010700323	0.793042567	0.40070111	null	BP
GO:0051017	actin filament bundle assembly	-1.343201765	3.850768727	0.023585947	0.873784098	0.46642938	null	BP
GO:0000127	transcription factor TFIIIC complex	-2.165204123	3.8143142	0.024827483	0.823630651	0	null	CC
GO:0005634	nucleus	-1.657151724	6.510616314	12.3396057	0.6525476	0.30655684	null	CC
GO:0005658	alpha DNA polymerase:primase complex	-1.356733635	3.394101302	0.009432159	0.485892571	0.68544377	null	CC
GO:0005666	RNA polymerase III complex	-1.858095343	4.124862728	0.050759256	0.455401448	0.20347658	null	CC
GO:0005741	mitochondrial outer membrane	-1.333170207	4.767690054	0.223032289	0.693379164	0.20353201	null	CC
GO:0005829	cytosol	-1.48668937	5.648819437	1.696303523	0.803603	0	null	CC
GO:0031380	nuclear RNA-directed RNA polymerase complex	-1.351331444	2.633468456	0.001633587	0.541059256	0.52674793	null	CC
GO:0003700	DNA-binding transcription factor activity	-1.579268758	6.221101903	4.532603541	0.847837442	0	null	MF
GO:0003896	DNA primase activity	-1.356733635	4.232970712	0.046579133	0.754526757	0.45189203	null	MF
GO:0004222	metalloendopeptidase activity	-1.477839264	5.366927007	0.634119681	0.907342987	0.02939757	null	MF
GO:0004364	glutathione transferase activity	-1.568277004	4.510772821	0.088309112	0.875882301	0.17796164	null	MF
GO:0008173	RNA methyltransferase activity	-1.312967502	5.32743659	0.579002765	0.742738126	0.50416042	null	MF
GO:0010333	terpene synthase activity	-1.66949009	3.978454433	0.025921187	0.960667014	0.02311186	null	MF
GO:0016706	2-oxoglutarate-dependent dioxygenase activity	-1.342588124	4.555094449	0.097797655	0.866191114	0.02536425	null	MF
GO:0016874	ligase activity	-1.330096062	6.090132792	3.352575217	0.943236976	0.04086835	null	MF
GO:0016887	ATP hydrolysis activity	-1.430745453	6.082174775	3.291701973	0.900389201	0.28673069	null	MF
GO:0035251	UDP-glucosyltransferase activity	-2.077082705	4.657170629	0.12371067	0.873485455	0	null	MF
GO:0043295	glutathione binding	-1.59031923	3.44963265	0.007668748	1	0	null	MF
GO:0052634	C-19 gibberellin 2-beta-dioxygenase activity	-1.328990063	2.503790683	0.00086631	0.876571433	0.54152408	null	MF
