TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative		Category
GO:0000244	spliceosomal tri-snRNP complex assembly	-1.552338245	3.476251796	0.009955259	0.817775119	0.31338113	null		BP
GO:0006384	transcription initiation at RNA polymerase III promoter	-1.542045261	3.979775933	0.031745069	0.842772294	0.24501226	null		BP
GO:0006564	L-serine biosynthetic process	-1.542339294	4.402295781	0.083989389	0.869650029	0.22252316	null		BP
GO:0009793	embryo development ending in seed dormancy	-1.597177673	3.785116195	0.020276398	0.958389729	0	null		BP
GO:0009807	lignan biosynthetic process	-1.426379112	3.002166062	0.003339485	0.893719409	0.0945828	null		BP
GO:0009987	cellular process	-1.49228928	7.376368957	79.12519252	1	0	null		BP
GO:0010091	trichome branching	-1.542106088	2.432969291	0.000898069	0.953073934	0.37847134	null		BP
GO:0030705	cytoskeleton-dependent intracellular transport	-1.542171127	4.320374802	0.069550439	0.993219953	0.0055284	null		BP
GO:0031425	chloroplast RNA processing	-3.213473376	2.957128198	0.003010194	0.866491059	0	null		BP
GO:0031507	heterochromatin formation	-1.542903069	4.144044637	0.04634035	0.864567597	0.41794311	null		BP
GO:0033320	UDP-D-xylose biosynthetic process	-1.547913996	3.773274348	0.019730904	0.846620913	0.20217071	null		BP
GO:0040008	regulation of growth	-1.542045916	4.587879264	0.12876976	0.936242858	0.12227245	null		BP
GO:0042732	D-xylose metabolic process	-1.547913996	4.304921162	0.067119001	0.911226004	0.03189186	null		BP
GO:0044238	primary metabolic process	-1.311630227	7.210955286	54.06311933	0.967220593	0.03720096	null		BP
GO:0050801	monoatomic ion homeostasis	-1.569967428	5.083402276	0.403036643	1	0	null		BP
GO:0051511	negative regulation of unidimensional cell growth	-1.542045916	1.968482949	0.000306009	0.924909811	0.09287186	null		BP
GO:0070143	mitochondrial alanyl-tRNA aminoacylation	-1.55610353	3.16879202	0.00490279	0.800040586	0.44853759	null		BP
GO:0106074	aminoacyl-tRNA metabolism involved in translational fidelity	-1.55610353	4.844924287	0.232736191	0.776354543	0.20997611	null		BP
GO:1905885	positive regulation of triglyceride transport	-1.542218394	2.08278537	0.000399142	0.95026691	0	null		BP
GO:0000221	"vacuolar proton-transporting V-type ATPase, V1 domain"	-1.545620455	3.509471352	0.012303313	0.591966212	0.12767971	null		CC
GO:0000932	P-body	-3.087024295	4.280077323	0.072567078	0.820469766	0	null		CC
GO:0030015	CCR4-NOT core complex	-1.542133325	3.944877306	0.033536142	0.732780134	0.19312105	null		CC
GO:0030122	AP-2 adaptor complex	-1.54204529	3.607025878	0.01540294	0.589401013	0.42242595	null		CC
GO:0031519	PcG protein complex	-1.542903069	3.624385241	0.016031243	0.689096476	0.18220575	null		CC
GO:0000987	cis-regulatory region sequence-specific DNA binding	-1.425436268	4.895643505	0.214231868	0.89583157	0.15114722	null		MF
GO:0002161	aminoacyl-tRNA editing activity	-1.55610353	4.844924287	0.190618116	0.923104898	0.57982144	null		MF
GO:0003973	(S)-2-hydroxy-acid oxidase activity	-1.542489742	3.327154512	0.005783571	0.966049821	0.0198023	null		MF
GO:0004049	anthranilate synthase activity	-1.55565958	4.016490132	0.028294004	0.930678345	0.02178403	null		MF
GO:0004648	O-phospho-L-serine:2-oxoglutarate aminotransferase activity	-1.542339294	3.991669007	0.026722115	0.95102784	0.13665662	null		MF
GO:0004813	alanine-tRNA ligase activity	-1.55610353	4.22331419	0.045554817	0.927542964	0	null		MF
GO:0010181	FMN binding	-1.692887977	5.206623518	0.438396331	0.925125087	0	null		MF
GO:0015293	symporter activity	-1.63575614	5.151035649	0.385725787	0.978394539	0	null		MF
GO:0017050	D-erythro-sphingosine kinase activity	-1.544742609	3.374565061	0.006451011	0.950561091	0.019927	null		MF
GO:0030623	U5 snRNA binding	-1.552338245	3.410608543	0.007009481	0.707811343	0.27406324	null		MF
GO:0017070	U6 snRNA binding	17070	-1.552338245	3.49248101	0.008464228	0.705787897	0.8511292	30623	MF
GO:0030619	U1 snRNA binding	30619	-1.552338245	3.571825249	0.010161432	0.703817317	0.85951088	30623	MF
GO:0030620	U2 snRNA binding	30620	-1.552338245	3.498448403	0.00858137	0.705640006	0.8426496	30623	MF
GO:0032440	2-alkenal reductase [NAD(P)+] activity	-1.366513679	3.378761175	0.006513669	0.965956104	0.19512723	null		MF
GO:0035615	clathrin adaptor activity	-1.54204529	3.873959655	0.020377349	0.921785392	0.36429801	null		MF
GO:0044389	ubiquitin-like protein ligase binding	-1.54212523	4.508516252	0.087851438	0.938459807	0.03943761	null		MF
GO:0047913	gallate 1-beta-glucosyltransferase activity	-1.542506281	0.602059991	8.17273E-06	0.963281943	0.09407106	null		MF
GO:0048040	UDP-glucuronate decarboxylase activity	-1.547913996	3.865044722	0.019963264	0.930981365	0.54767743	null		MF
GO:0070403	NAD+ binding	-1.547913996	4.827233535	0.183009301	0.928167085	0.22415902	null		MF
GO:0097157	pre-mRNA intronic binding	-1.552338245	2.84260924	0.00189335	0.860864871	0.06815671	null		MF
GO:0140951	histone H3K27 trimethyltransferase activity	-1.542903069	3.212986185	0.004445967	0.953503276	0.12419614	null		MF
