TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative		Category
GO:0000460	maturation of 5.8S rRNA	-1.501699792	4.109038296	0.042751401	0.814703858	0.26645389	null		BP
GO:0006094	gluconeogenesis	-1.501465129	4.865127674	0.243819025	0.833062351	0.42132548	null		BP
GO:0006406	mRNA export from nucleus	-1.501699792	4.375151302	0.078900333	0.893367146	0.31641597	null		BP
GO:0006490	oligosaccharide-lipid intermediate biosynthetic process	-1.501699792	4.183725258	0.050774149	0.908614553	0.29228033	null		BP
GO:0006592	ornithine biosynthetic process	-1.501699792	2.426511261	0.000884764	0.884350874	0.32875067	null		BP
GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	-1.502055375	4.367951968	0.077603122	0.911522733	0.20927371	null		BP
GO:0009157	deoxyribonucleoside monophosphate biosynthetic process	-1.501699792	4.609743772	0.135418795	0.863286705	0.35608731	null		BP
GO:0009658	chloroplast organization	-1.509435411	3.87978378	0.025215776	0.898277022	0	null		BP
GO:0010225	response to UV-C	-1.501699792	2.783188691	0.002015666	0.948981346	0	null		BP
GO:0015811	L-cystine transport	-1.501699792	2.630427875	0.001416953	0.970092173	0	null		BP
GO:0030261	chromosome condensation	-1.456230593	4.385820687	0.080862779	0.893815891	0.41824677	null		BP
GO:0033615	mitochondrial proton-transporting ATP synthase complex assembly	-1.501699792	3.137037455	0.004556868	0.897212265	0.35244741	null		BP
GO:0034982	mitochondrial protein processing	-1.501699792	3.473340964	0.009888735	0.909896481	0.10443555	null		BP
GO:0035266	meristem growth	-1.501699792	2.741939078	0.001832726	0.915434363	0.4420087	null		BP
GO:0045491	xylan metabolic process	-1.501699792	4.449370391	0.093605378	0.91871259	0.03126368	null		BP
GO:0045893	positive regulation of DNA-templated transcription	-1.895563953	5.337678849	0.723806859	0.98016848	0	null		BP
GO:0046104	thymidine metabolic process	-1.501699792	3.13481437	0.004533584	0.86334697	0.18919029	null		BP
GO:0046656	folic acid biosynthetic process	-1.501699792	4.471716994	0.098548082	0.848845252	0.00642774	null		BP
GO:0071365	cellular response to auxin stimulus	-1.501699792	4.456730323	0.095205271	0.88451291	0.26409078	null		BP
GO:0009735	response to cytokinin	9735	-1.501699792	4.100956103	0.041963096	0.896167707	0.7246801	71365	BP
GO:0090059	protoxylem development	-1.501699792	1.505149978	0.000103112	0.888352274	0	null		BP
GO:0048759	xylem vessel member cell differentiation	48759	-1.501699792	2.037426498	0.000359228	0.880678072	0.76497858	90059	BP
GO:0005634	nucleus	-1.520230772	6.510616314	12.3396057	0.736609119	0.26836028	null		CC
GO:0009535	chloroplast thylakoid membrane	-1.327216313	4.260953398	0.069440795	0.776280066	0	null		CC
GO:0030008	TRAPP complex	-1.501699792	4.114777732	0.04959404	0.81680804	0	null		CC
GO:0032116	SMC loading complex	-1.49878571	2.444044796	0.001054787	0.697000939	0.16952403	null		CC
GO:0032300	mismatch repair complex	-1.466448718	4.205637359	0.061135774	0.733957523	0.21537865	null		CC
GO:0000701	purine-specific mismatch base pair DNA N-glycosylase activity	-1.501699792	3.896691527	0.021472496	0.805783901	0.64428867	null		MF
GO:0000976	transcription cis-regulatory region binding	-1.633113634	5.137970928	0.374294857	0.893235696	0	null		MF
GO:0003856	3-dehydroquinate synthase activity	-1.501699792	4.023211292	0.028735332	0.874119565	0.35996046	null		MF
GO:0004377	"GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity"	-1.501699792	3.409256652	0.006987687	0.933243947	0.13495684	null		MF
GO:0004612	phosphoenolpyruvate carboxykinase (ATP) activity	-1.501465129	3.818621726	0.01793915	0.856842177	0.49464456	null		MF
GO:0004797	thymidine kinase activity	-1.501699792	3.859198362	0.019696288	0.903642153	0.01937418	null		MF
GO:0008696	4-amino-4-deoxychorismate lyase activity	-1.501699792	3.286007122	0.005260516	0.861780201	0.01803906	null		MF
GO:0009703	nitrate reductase (NADH) activity	-1.501699792	2.505149978	0.000869034	0.955457597	0.15875675	null		MF
GO:0015184	L-cystine transmembrane transporter activity	-1.501699792	2.472756449	0.000806376	0.999310871	0	null		MF
GO:0016301	kinase activity	-1.344944572	6.361651545	6.26465916	0.886357041	0.40129798	null		MF
GO:0016707	gibberellin 3-beta-dioxygenase activity	-1.501699792	2.274157849	0.000509434	0.956040731	0.01607951	null		MF
GO:0032357	oxidized purine DNA binding	-1.501699792	2.662757832	0.001250428	0.946462684	0.22305118	null		MF
GO:0034039	"8-oxo-7,8-dihydroguanine DNA N-glycosylase activity"	-1.501699792	2.611723308	0.001111492	0.820903712	0.55217987	null		MF
GO:0035485	adenine/guanine mispair binding	-1.501699792	2.049218023	0.000302391	0.902194249	0.5453882	null		MF
GO:0102682	N6-(Delta2-isopentenyl)-adenosine 5'-monophosphate phosphoribohydrolase activity	-1.501699792	3.523746467	0.009096253	0.816125511	0	null		MF
