TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative		Category
GO:0000082	G1/S transition of mitotic cell cycle	-1.377744023	3.752278985	0.018799573	0.919923721	0.55377515	null		BP
GO:0000278	mitotic cell cycle	-1.503831748	5.011887485	0.341844897	0.917136087	0.01040194	null		BP
GO:0002229	defense response to oomycetes	-1.438030736	2.532754379	0.001130901	0.922285499	0.37946909	null		BP
GO:0006281	DNA repair	-2.462812788	5.862949683	2.42602308	0.814525058	0.00805631	null		BP
GO:0006338	chromatin remodeling	-2.159260432	5.400743432	0.836926939	0.781246337	0.6702852	null		BP
GO:0006657	CDP-choline pathway	-1.659357615	3.610340711	0.013557513	0.97388576	0.05808592	null		BP
GO:0006900	vesicle budding from membrane	-1.381482806	4.043912167	0.036797537	0.781920547	0.4760423	null		BP
GO:0007129	homologous chromosome pairing at meiosis	-1.351141451	3.744605875	0.018470282	0.735493254	0.55308964	null		BP
GO:0007623	circadian rhythm	-1.633416892	4.137069131	0.045601938	1	0	null		BP
GO:0008285	negative regulation of cell population proliferation	-1.33312703	4.446257488	0.092936815	0.915690756	0.41205949	null		BP
GO:0010133	proline catabolic process to glutamate	-1.577517605	4.010002974	0.034033481	0.972747147	0.09981302	null		BP
GO:0010256	endomembrane system organization	-1.362966008	4.848823155	0.234835011	0.823916412	0.32545833	null		BP
GO:0010389	regulation of G2/M transition of mitotic cell cycle	-1.377744023	3.999739345	0.033238524	0.958940099	0.12713746	null		BP
GO:0035494	SNARE complex disassembly	-1.66646055	3.517063873	0.010936482	0.798464789	0.40259954	null		BP
GO:0043007	maintenance of rDNA	-1.35607245	2.475671188	0.000991202	0.786178584	0.43581038	null		BP
GO:0044571	[2Fe-2S] cluster assembly	-1.663351348	3.906927347	0.026842278	0.824530221	0.42864419	null		BP
GO:0048507	meristem development	-2.322124503	3.99264187	0.032699683	1	0	null		BP
GO:0051382	kinetochore assembly	-2.812654896	3.823669813	0.022159016	0.762552404	0	null		BP
GO:0051716	cellular response to stimulus	-1.690678102	6.557843319	12.01680573	0.888603404	0.5609954	null		BP
GO:0055063	sulfate ion homeostasis	-1.633416892	0.954242509	2.66094E-05	0.96664562	0	null		BP
GO:0055070	copper ion homeostasis	-1.394571747	4.087603974	0.040692495	0.96664562	0.48774007	null		BP
GO:0070716	mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication	-1.702525185	2.049218023	0.000369206	0.879775045	0.43763768	null		BP
GO:0071486	cellular response to high light intensity	-1.633416892	2.759667845	0.001909228	0.929788919	0.25563605	null		BP
GO:0090657	telomeric loop disassembly	-1.702525185	2.626340367	0.001403648	0.782834089	0.4435508	null		BP
GO:0098719	sodium ion import across plasma membrane	-1.690678199	3.056142262	0.003781867	0.940538261	0.00525623	null		BP
GO:1902600	proton transmembrane transport	-1.673414157	5.462790183	0.96546054	0.92947442	0.49678836	null		BP
GO:1903842	response to arsenite ion	-1.633416892	2.318063335	0.000688519	0.941395467	0.20986587	null		BP
GO:1904430	negative regulation of t-circle formation	-1.702525185	2.315970345	0.000685193	0.87426907	0	null		BP
GO:0010569	regulation of double-strand break repair via homologous recombination	10569	-1.702525185	3.67292869	0.015659659	0.878630986	0.91747769	1904430	BP
GO:0045910	negative regulation of DNA recombination	45910	-1.702525185	3.859798547	0.024081548	0.845285872	0.75741011	1904430	BP
GO:0005637	nuclear inner membrane	-1.394048916	4.02473189	0.040306581	0.837350692	0.20215026	null		CC
GO:0005776	autophagosome	-1.687396305	4.162444914	0.055347771	0.8605221	0	null		CC
GO:0005854	nascent polypeptide-associated complex	-1.351840965	3.577721525	0.014397656	0.830241632	0.1754872	null		CC
GO:0005886	plasma membrane	-1.31538965	6.571134322	14.1846723	0.9333608	0.23277597	null		CC
GO:0031464	Cul4A-RING E3 ubiquitin ligase complex	-1.67669301	3.261262869	0.006945603	0.877404302	0	null		CC
GO:0032301	MutSalpha complex	-1.605509096	2.933487288	0.003263367	0.755236644	0.16240119	null		CC
GO:0048046	apoplast	-1.551088171	4.483401844	0.115897129	0.999943002	0.00003253	null		CC
GO:0048226	Casparian strip	-1.331956731	2.352182518	0.000852969	0.942618983	0.0000242	null		CC
GO:0071821	FANCM-MHF complex	-1.305221722	3.24723655	0.006724745	0.749365247	0.37348514	null		CC
GO:0000175	3'-5'-RNA exonuclease activity	-1.679280383	4.548831473	0.096397394	0.934967048	0.02323783	null		MF
GO:0001671	ATPase activator activity	-1.329104625	4.097881745	0.034126612	1	0	null		MF
GO:0003842	1-pyrroline-5-carboxylate dehydrogenase activity	-1.577517605	3.922465945	0.022785581	0.794083734	0.63189709	null		MF
GO:0004029	aldehyde dehydrogenase (NAD+) activity	-2.160293471	4.121986379	0.036074446	0.790376071	0	null		MF
GO:0004142	diacylglycerol cholinephosphotransferase activity	-1.659357615	2.301029996	0.000542125	0.929121942	0.03845534	null		MF
GO:0004564	beta-fructofuranosidase activity	-1.393871567	3.637089274	0.0118096	0.904800009	0.15197749	null		MF
GO:0004675	transmembrane receptor protein serine/threonine kinase activity	-1.55549195	4.03430753	0.02947905	0.843637924	0.27333598	null		MF
GO:0004693	cyclin-dependent protein serine/threonine kinase activity	-1.377744023	3.671728088	0.012790328	0.872244275	0.50450718	null		MF
GO:0015035	protein-disulfide reductase activity	-1.612406335	4.838735782	0.187921114	0.812579458	0.26646041	null		MF
GO:0015386	potassium:proton antiporter activity	-1.690678199	3.432969291	0.007379979	0.85107276	0	null		MF
GO:0015385	sodium:proton antiporter activity	15385	-1.690678199	4.116242358	0.035600428	0.846879763	0.84301611	15386	MF
GO:0016799	"hydrolase activity, hydrolyzing N-glycosyl compounds"	-1.305743336	5.073230641	0.322457931	0.89619448	0.51898061	null		MF
GO:0030332	cyclin binding	-1.377744023	3.269512944	0.005064371	0.93528872	0.28013374	null		MF
GO:0032050	clathrin heavy chain binding	-1.381482806	3.086359831	0.003320854	0.935936261	0.27342046	null		MF
GO:0043682	P-type divalent copper transporter activity	-1.394571747	2.567026366	0.001002522	0.890197729	0.45217875	null		MF
GO:0043878	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity	-1.577517605	3.751740874	0.015378361	0.797249439	0.6170269	null		MF
GO:0070182	DNA polymerase binding	-1.409226275	3.05422991	0.003083845	0.936052691	0	null		MF
GO:0140825	lactoperoxidase activity	-1.310592734	4.242640798	0.047627968	0.84824233	0.27177636	null		MF
